Số báo danh,Toán,Văn,Ngoại ngữ*,Vật lí,Hóa học,Sinh học,Lịch sử,Địa lí,GDCD,Môn ngoại ngữ
02000777,8.20,7.25,6.20,6.50,7.50,7.75,,,,Tiếng Anh
02056117,7.60,6,3.80,,,,6.50,6.25,7.50,Tiếng Anh
02001865,6.60,7.50,4.80,,,,3.75,6.50,8,Tiếng Anh
02048109,8.60,6.50,8.20,8.75,7,5.25,,,,Tiếng Anh
02063259,8.80,,8.40,6,,,,,,Tiếng Anh
02035439,7.80,6.75,5,7.25,7,6,,,,Tiếng Anh
02061264,8.20,7.50,8,5.75,7.25,6.50,,,,Tiếng Anh
02037404,8.20,6.75,5,7.25,5.75,6,,,,Tiếng Anh
02003858,7.60,6.75,,3.75,8.25,8,,,,
02014364,9.20,8.25,8,6.25,7,5.50,,,,Tiếng Anh
02042504,8.60,7.50,6.20,8.25,8.50,6.50,,,,Tiếng Anh
02069654,5.20,6,,,,,6,6,,
02016359,5.80,6.50,5.80,,,,6.75,7.25,7.25,Tiếng Anh
02040539,8.80,7,5.80,8.25,10,6.50,,,,Tiếng Anh
02023017,8,6.50,4,7.50,7.25,6.75,,,,Tiếng Anh
02008347,8,7.50,7.80,5,7.75,7.75,,,,Tiếng Anh
02068946,6.40,7.75,5.20,,,,8.25,7.75,7.50,Tiếng Anh
02070475,8.60,6.25,7.80,8.25,4.25,4.50,,,,Tiếng Anh
02026215,7.80,7.50,7.20,7,5.50,6.75,,,,Tiếng Anh
02044829,8,8.25,8.20,6.75,7.75,7.50,,,,Tiếng Anh
02046814,,6,,,,,7,8,,
02059718,8.40,8.50,5.60,,,,5,7.25,9.25,Tiếng Anh
02072448,8.20,7,7,,,,7,9.25,8.75,Tiếng Anh
02024228,6.80,6.25,7.80,,,,4.50,8.25,9,Tiếng Anh
02011166,9,6.50,8.80,8.25,6.50,5.25,,,,Tiếng Anh
02047706,7.40,7.50,6.60,,,,,,,Tiếng Anh
02064066,7.20,7.25,5.20,,,,6,7,8,Tiếng Anh
02032606,5.20,7.50,3.40,4.75,5,4,,,,Tiếng Anh
02019556,6.80,7,6.80,,,,3.75,5.25,6.50,Tiếng Anh
02033914,8.60,6.75,3.80,8.25,8.50,6.50,,,,Tiếng Anh
02007548,5.60,6,4.20,4.50,4.25,4,,,,Tiếng Anh
02051328,7.20,6.75,4.60,4,5.75,5.75,,,,Tiếng Anh
02005575,8.80,6.50,,7,8,6.50,,,,
02053315,5.20,6,,,,,5.75,5.50,,
02031929,5.60,6,4.40,5,4.75,4.75,,,,Tiếng Anh
02030791,7.20,7.50,4.40,6.75,7,6,,,,Tiếng Anh
02035069,7.40,7.50,5.20,,,,5,6.50,8,Tiếng Anh
02063609,8.20,7,4,6.75,6.50,7.50,,,,Tiếng Anh
02048559,8.40,7,7.60,6.75,5.75,4.50,,,,Tiếng Anh
02037054,7.40,7,6.60,,,,6.25,7.50,8.75,Tiếng Anh
02061634,6.40,6,4.40,6.25,7.75,4.75,,,,Tiếng Anh
02060926,5.20,7.50,3.60,,,,6.75,7.75,8.75,Tiếng Anh
02051282,7.80,6,6.40,,,,3.50,5.75,7.25,Tiếng Anh
02056547,6.20,6,3.80,,,,3,6.75,7,Tiếng Anh
02000327,8.60,6.50,4.80,8,8.50,5,,,,Tiếng Anh
02031883,4.60,5.75,3.40,6.25,5,5,,,,Tiếng Anh
02008717,7.40,6.50,8.20,6.50,6.50,4.75,,,,Tiếng Anh
02044983,7.40,6.25,6.20,6.75,5.75,6.25,,,,Tiếng Anh
02023447,6.20,7.50,4.20,,,,5.75,5.50,7.75,Tiếng Anh
02024382,8.80,7.25,6,8.50,8,6.50,,,,Tiếng Anh
02015826,5.80,5.50,4.60,,,,4.25,6,8,Tiếng Anh
02069204,4.40,2.25,4.60,,,,4.75,7,7.25,Tiếng Anh
02042154,9,7.50,7.80,7.50,6.75,8,,,,Tiếng Anh
02014734,7.40,6.25,3.60,,,,5,5.25,7.50,Tiếng Anh
02045691,7.20,6.50,6,7.25,7,6.25,,,,Tiếng Anh
02009805,7.60,6.75,6.80,6,4.50,5.25,,,,Tiếng Anh
02040169,7,7.50,4,5.75,6.50,5,,,,Tiếng Anh
02016709,7.60,5.25,6.60,,,,4.25,7.25,8.75,Tiếng Anh
02047356,9.40,6,8,8,7.50,6.75,,,,Tiếng Anh
02011536,3,4.75,3.20,,,,3.25,5.50,6,Tiếng Anh
02040493,7,6.50,3.60,5.25,6.25,3.50,,,,Tiếng Anh
02027957,8.60,6,4,8,8.50,6,,,,Tiếng Anh
02026645,6.40,7.50,4.80,,,,4.75,6.75,9,Tiếng Anh
02070025,7.20,5.50,4,,,,5.75,6.75,9,Tiếng Anh
02039949,7.40,7.25,5,,,,4.50,6,8.25,Tiếng Anh
02021180,6,5,5.40,,,,4.50,6.25,9.25,Tiếng Anh
02024678,8.60,6,4.60,8,8,6,,,,Tiếng Anh
02072018,8.40,7.50,5,7.25,6,5.25,,,,Tiếng Anh
02059348,5.40,5.50,,,,,4,5.75,,
02054080,6.20,5.75,3.40,,,,6,8,8.75,Tiếng Anh
02051778,7.40,6.75,5.60,,,,3.50,6.75,6.25,Tiếng Anh
02007118,7.60,7.75,8,,,,2,6.50,6.25,Tiếng Anh
02053745,8.40,5.75,8,6.75,6.75,5.75,,,,Tiếng Anh
02005125,5.40,6.75,5.60,,,,5.75,6,8.50,Tiếng Anh
02052857,7.20,,,7.50,6,,,,,
02035593,6.20,6.50,3.20,2.75,3.25,4.25,,,,Tiếng Anh
02019106,8.20,7,5.80,7,6.50,5,,,,Tiếng Anh
02032256,8.40,7.25,,6.75,7.50,7,,,,
02064436,8,7.50,7.80,,,,6.75,7.75,9,Tiếng Anh
02057706,6.80,7,5.80,,,,6,6.50,7.75,Tiếng Anh
02001166,8.80,7.75,6.40,,,,7.50,6.75,9.25,Tiếng Anh
02036215,7.20,8,5.40,,,,6.25,7.50,9.50,Tiếng Anh
02060475,6,6.25,4,,,,4.50,6.75,7.50,Tiếng Anh
02054829,4.80,5.50,5.40,,,,3.50,8.50,9.25,Tiếng Anh
02056814,5.60,5.50,4.20,,,,3.75,5,9,Tiếng Anh
02034228,8.60,8.25,6.20,,,,4.75,7.75,9.50,Tiếng Anh
02062448,6.60,6,8.40,,,,,,,Tiếng Anh
02049718,5,5.75,5.60,,,,6.50,7.25,8.50,Tiếng Anh
02023914,7.60,5.75,4,7,7.75,6,,,,Tiếng Anh
02041328,8.80,7,8.20,8.25,7.75,6.50,,,,Tiếng Anh
02017548,6.20,7.25,6.80,,,,8,7.50,9,Tiếng Anh
02068045,6.40,7,5.20,,,,8,6.50,6.25,Tiếng Anh
02043315,5.80,6.75,4,5.25,6.75,4.50,,,,Tiếng Anh
02015575,4.20,4.50,4,,,,4.25,7.75,6.50,Tiếng Anh
02021929,3.60,5.75,6.40,,,,4.25,6.50,7,Tiếng Anh
02009556,6.40,7.50,5,5,8,7,,,,Tiếng Anh
