Số báo danh,Toán,Văn,Ngoại ngữ*,Vật lí,Hóa học,Sinh học,Lịch sử,Địa lí,GDCD,Môn ngoại ngữ
06003962,2.60,5,2.60,,,,6.25,6.50,7.25,Tiếng Anh
06002670,2.40,2,1.80,,,,2.50,3,5.25,Tiếng Anh
06002220,4.20,5.25,4,,,,5,7,9,Tiếng Anh
06003061,4.60,5,2.20,,,,6.75,7,8.75,Tiếng Anh
06003431,5.60,6,2.20,,,,4,5.75,7.50,Tiếng Anh
06001119,5.20,7,2.60,,,,6.25,5.25,7,Tiếng Anh
06003124,,7,,,,,6.75,6.75,,
06001549,5,6,2.80,,,,7.75,8.25,9,Tiếng Anh
06003574,6.20,8.50,4,,,,7.50,7.50,6.75,Tiếng Anh
06003827,8,7.25,4.80,,,,5.25,6.25,6,Tiếng Anh
06002735,2.80,5,3,,,,4.75,7.50,6.50,Tiếng Anh
06000708,8.60,5.50,2.80,7.25,8,7.25,,,,Tiếng Anh
06002365,2,4.50,3.20,,,,5.25,5.75,5.25,Tiếng Anh
06000358,4.80,4.75,5.60,,,,6.75,7.50,8.75,Tiếng Anh
06004198,5.80,4.25,3,,,,3,7.25,8,Tiếng Anh
06001660,5.40,6.75,4,,,,7.50,8.50,9.25,Tiếng Anh
06000972,8.80,6.75,4.20,6.50,7,5.50,,,,Tiếng Anh
06004462,4,4.50,2.20,,,,5.25,6.50,7,Tiếng Anh
06001230,5.20,6.25,3.80,,,,7.50,8.25,8.75,Tiếng Anh
06004032,7.80,7.75,6.20,,,,8.25,9,9.50,Tiếng Anh
06000071,5.20,5.50,4.60,,,,8.75,7.25,9,Tiếng Anh
06000421,5.60,7.25,5,,,,6,7.75,9.25,Tiếng Anh
06000134,3.40,5.50,2.60,,,,2.50,6.25,6.50,Tiếng Anh
06002109,3.40,2.75,3,,,,4.25,3,6,Tiếng Anh
06000564,6.20,6.50,3.80,,,,6.25,8.75,9.25,Tiếng Anh
06002559,1.60,4,2.60,,,,4.25,7,5.50,Tiếng Anh
06004527,5,7.25,3,,,,4.50,5.50,8.25,Tiếng Anh
06003718,3.20,3.25,,,,,3.25,,,
06001725,5.40,5.75,2.60,,,,5.25,7,8.25,Tiếng Anh
06000837,8.20,8.25,9.20,,,,6,7.25,7.75,Tiếng Anh
06004177,5.40,6.75,6.60,,,,8,5.25,5.75,Tiếng Anh
06003348,8,4.25,3.60,7.25,8,6,,,,Tiếng Anh
06001375,4.40,7,3.40,,,,8,8,8.25,Tiếng Anh
06003466,4.40,5,2.80,,,,4.50,7.25,8.25,Tiếng Anh
06003036,6.80,7.25,3.40,,,,8.75,7.50,9.50,Tiếng Anh
06004209,5.80,6.25,5.40,,,,7.50,7.50,9,Tiếng Anh
06002277,2.40,4.25,2.40,,,,3.25,5.25,8,Tiếng Anh
06001908,2.80,4.25,2.80,,,,3.75,6.75,7.50,Tiếng Anh
06003935,3.40,4.50,,,,,6.25,6.25,,
06002627,7,6.75,3.20,,,,7.50,8.75,9.25,Tiếng Anh
06002332,7,7,4.20,,,,3.75,7.25,7,Tiếng Anh
06002298,4,7,2,,,,5.25,6.25,8.50,Tiếng Anh
06003870,4,3.50,2.60,,,,5.75,4.25,6,Tiếng Anh
06002762,8,7.75,5.60,,,,6.25,7.75,9,Tiếng Anh
06003523,7.40,8.25,7.80,,,,,,,Tiếng Anh
06003489,5.40,6,,,,,3,8.25,,
06003173,7.80,8,4.20,,,,8.75,9.25,9.50,Tiếng Anh
06000476,7.20,,,5,6.25,,,,,
06000026,2.60,4.50,2.40,,,,4.25,4.50,5.75,Tiếng Anh
06004065,5.60,6.25,3.20,,,,6.75,7.25,9.25,Tiếng Anh
06001267,2.80,2,,,,,1.50,6,,
06004435,,8,,,,,8.50,8.75,,
06001637,6.20,5.75,3,,,,6,7.75,9.50,Tiếng Anh
06000925,8,8,3.80,,,,8.75,7.75,8.50,Tiếng Anh
06002918,2.40,4.50,2.80,,,,3.25,5.50,6.25,Tiếng Anh
06001322,6.60,7.50,4,,,,8.50,6.75,8,Tiếng Anh
06004120,6.20,6.50,3.20,,,,7,7.75,8.75,Tiếng Anh
06001772,4.40,5,2.60,,,,4.75,5.75,5.75,Tiếng Anh
06000860,8.40,7.50,7,5.25,5.25,5.50,,,,Tiếng Anh
06001288,5.60,7,3,,,,4,7.25,9.25,Tiếng Anh
06004570,5.60,5.75,3.60,,,,4.75,8,7.75,Tiếng Anh
06000533,6.80,8.25,4,,,,8.25,7.75,8.75,Tiếng Anh
06000163,3.40,5.25,1.80,,,,4.25,5.25,7,Tiếng Anh
06000499,4.60,5,1.80,,,,3.25,5.50,8.75,Tiếng Anh
06002631,2.40,5.75,3,,,,5.25,7.50,8,Tiếng Anh
06003923,3.80,6.75,2,,,,5,6.50,6.25,Tiếng Anh
06003889,4.60,6.25,4,,,,4.25,5.50,4,Tiếng Anh
06002261,3,3.25,2.80,,,,2.50,3.25,4.75,Tiếng Anh
06003020,4.80,5.75,2,,,,4.50,6.50,8,Tiếng Anh
06003470,9,,,7.50,7.50,3.50,,,,
06003165,4.60,5.50,2.80,,,,5,6,6.75,Tiếng Anh
06001158,5,,,4.50,6.25,,,,,
06003535,8.20,6.50,5.80,7.50,7.25,5.50,,,,Tiếng Anh
06001508,4.40,5.83,4.40,,,,5,4.75,6,Tiếng Anh
06000749,8.20,9,3.80,,,,9.50,7.50,7.50,Tiếng Anh
06002774,5,6,2.60,,,,5.25,6.50,8.50,Tiếng Anh
06003866,2.80,4.75,3,,,,4.50,6,5,Tiếng Anh
06000319,6.40,7.25,3.60,,,,5.75,7,8.50,Tiếng Anh
06002324,4.60,7.25,2.40,,,,3.75,5.25,8.75,Tiếng Anh
06000933,7.40,7.75,2.80,,,,5.75,7,9.25,Tiếng Anh
06001621,3.40,4,,,,,4.50,5.75,,
06004423,2.40,4.75,,,,,4.75,8,,
06004589,4.40,5.75,1.80,,,,4.50,7.50,9,Tiếng Anh
06001271,3.60,6.50,3.60,,,,3.25,5.25,6.25,Tiếng Anh
06000899,7.40,7.50,6.40,,,,4,9,8.50,Tiếng Anh
06004073,4,5.50,3,,,,6.50,8.25,8,Tiếng Anh
06000030,,8,,,,,8.75,8.50,,
06000460,3,5.50,3,,,,6,6.75,7,Tiếng Anh
06002148,4,7,3,,,,5.25,7.25,6.25,Tiếng Anh
06000175,3.20,7.25,3,,,,5,5.75,7.25,Tiếng Anh
06002518,4.40,5.50,3,,,,4.50,6.50,7,Tiếng Anh
06000525,6.80,5.50,2.60,,,,6,6,8,Tiếng Anh
06004566,8,6.50,6,,,,4.25,8,8.75,Tiếng Anh
06000876,8.80,6,4.80,7.75,9.25,6.25,,,,Tiếng Anh
