Số báo danh,Toán,Văn,Ngoại ngữ*,Vật lí,Hóa học,Sinh học,Lịch sử,Địa lí,GDCD,Môn ngoại ngữ
07002321,6,4.50,4,,,,4.25,5.25,7.50,Tiếng Anh
07002771,5.80,4.75,4.40,,,,4.25,5.75,7.50,Tiếng Anh
07003160,3,4.75,2.80,,,,4.50,5,9,Tiếng Anh
07001448,6.60,4,2.40,5.25,8,5.75,,,,Tiếng Anh
07001018,6.60,5.50,3.80,,,,7,7,9,Tiếng Anh
07003025,5.60,6.25,3.20,,,,5.50,5.75,7.25,Tiếng Anh
07002264,5,2.75,,,,,4.75,5.50,,
07000259,7.20,5.25,,,,,8.25,,,
07002634,5.80,5,3.80,,,,6.75,7.75,8.50,Tiếng Anh
07000609,7.20,7,6.20,,,,8.50,9.25,9,Tiếng Anh
07001331,5.20,6.25,3.20,,,,5.25,6.50,8.50,Tiếng Anh
07000873,6.40,5.25,2.80,,,,4.75,6.25,8.25,Tiếng Anh
07001761,8,6.75,3.40,7,7.75,5.50,,,,Tiếng Anh
07000520,8.40,6,,,,,9.50,,,
07000170,4.60,6.75,3.20,,,,4.25,6.75,8.25,Tiếng Anh
07000465,6.80,6.50,,,,,7.75,,,
07002458,7.20,5.25,3.80,5,5.75,6,,,,Tiếng Anh
07000035,6.40,6.75,2.60,,,,7.50,7.75,6.50,Tiếng Anh
07002008,6.20,5.25,2.40,,,,6.25,7.75,9,Tiếng Anh
07003249,,6,,,,,7.50,7,,
07001274,8.20,5.50,4.80,7,8.25,4.25,,,,Tiếng Anh
07001624,7,6,2,,,,7,8.50,8.50,Tiếng Anh
07003137,7.20,5.50,4.20,,,,8.75,7.25,8.50,Tiếng Anh
07002726,6.20,5.75,5,,,,5.50,6,8,Tiếng Anh
07001809,6.40,4.25,3.60,,,,4.25,4.50,7.25,Tiếng Anh
07002376,4.80,2.75,3.60,,,,3.75,4.75,8.25,Tiếng Anh
07002663,7,5,4,,,,7.75,7,8.25,Tiếng Anh
07002399,6,4.25,3.40,,,,5,5.25,7.75,Tiếng Anh
07002233,4,2.75,,,,,3.50,5.75,,
07003072,7.20,4.75,3.80,,,,7.25,7.75,8.75,Tiếng Anh
07000127,7.20,7.25,5.20,7,7,6.25,,,,Tiếng Anh
07000577,3.20,4,,,,,4.25,3.50,,
07000824,8.80,5,5.40,8.25,8,6.25,,,,Tiếng Anh
07002819,3,3.75,,,,,3.75,4,,
07001736,4.80,3.75,,,,,4.50,8,,
07001366,3.20,3.50,,,,,3.50,5.75,,
07001389,7,4.25,,,,,7,7.75,,
07000961,4.20,6.25,2.80,,,,7,6.25,8.25,Tiếng Anh
07001673,7,7.25,4.80,,,,6.50,8,9,Tiếng Anh
07001223,7.20,7.25,4.40,,,,5.75,7.75,9.25,Tiếng Anh
07000598,6.80,8.25,4.80,,,,9.75,8.75,9.75,Tiếng Anh
07000062,7.20,5.75,4,,,,5.50,6.75,7,Tiếng Anh
07000432,4.40,6,,,,,5.75,,,
07002360,4.80,6.25,2.80,,,,5.25,7.50,8.50,Tiếng Anh
07002730,6,5.25,2.40,,,,3.25,6.25,7.50,Tiếng Anh
07003121,6,7,3.60,4.25,6.25,4.75,,,,Tiếng Anh
07001409,7.80,6.75,3.80,5.75,7.25,5.25,,,,Tiếng Anh
07003064,5.60,6,3.80,,,,4.75,7.25,6.75,Tiếng Anh
07001059,5.80,6,2.40,,,,4.75,5.75,7,Tiếng Anh
07000218,5.80,7,4.60,,,,5.50,8.25,8,Tiếng Anh
07002225,6.20,5.50,3.80,,,,6.50,6,8.50,Tiếng Anh
07000648,2.80,3,,,,,4,3.50,,
07002675,4.20,4,2,,,,3.25,3.75,6.50,Tiếng Anh
07000998,6.60,5.50,4.40,,,,5.75,7.25,9,Tiếng Anh
07001370,5.40,4.25,,,,,3.50,5.25,,
07001720,6.80,8.50,4,,,,8,8.25,8,Tiếng Anh
07000832,6.60,7.50,6.20,,,,5.75,6,6.75,Tiếng Anh
07000561,6,4.50,,,,,3,5,,
07000131,5,6,2.80,,,,3.25,7,8.75,Tiếng Anh
07002419,6.40,6.25,3,,,,4.75,5.25,7.75,Tiếng Anh
07000424,6.40,6,4,,,,6,7.50,7.75,Tiếng Anh
07000074,4.20,2.25,,,,,3,3.75,,
07001235,6.60,8,4.40,,,,6.25,6.25,8.25,Tiếng Anh
07003208,4,4.50,4.40,,,,3.75,5.50,7.25,Tiếng Anh
07001665,6.60,5,4.60,,,,5.75,7,8.50,Tiếng Anh
07000977,4.40,5.50,2.60,,,,2.75,5.50,7.50,Tiếng Anh
07003176,5.80,4.50,3.80,,,,5.25,6.25,7,Tiếng Anh
07001848,2.60,5,2.80,,,,3,1,4.50,Tiếng Anh
07002767,6.80,6.50,3.20,,,,4.75,6.25,8,Tiếng Anh
07002337,4.80,5,3.60,,,,5.75,3.75,6.75,Tiếng Anh
07002622,5.80,6.25,3.60,,,,5,7.25,9,Tiếng Anh
07002272,6.60,6,4,,,,5.25,7.25,9.50,Tiếng Anh
07002788,6.40,4.75,3.60,,,,6.50,7,8.25,Tiếng Anh
07003033,7,8,4.80,,,,8,8,9,Tiếng Anh
07003199,5.20,5,3.60,,,,6.25,7,8.25,Tiếng Anh
07000166,8.40,5,7,5,7.25,5,,,,Tiếng Anh
07000536,5.60,5.50,,,,,4.25,,,
07001777,8.60,6.75,4.80,7,7.50,6.25,,,,Tiếng Anh
07002858,2.20,5,,,,,5.25,4.50,,
07000865,8,7,3.40,5.50,6.75,6,,,,Tiếng Anh
07001327,2.80,3.25,,,,,3.25,4.75,,
07001632,7.20,7.25,,,,,8.50,8,,
07000920,6.20,4.25,,,,,7.75,6.50,,
07001798,7,6.75,4.60,,,,5.75,7.50,9.25,Tiếng Anh
07001262,6.60,4.50,4,,,,4.75,7.25,8.25,Tiếng Anh
07000023,7,5.25,3.40,6.25,5,2.25,,,,Tiếng Anh
07000189,7.20,6.75,3.40,,,,7.75,8,9.25,Tiếng Anh
07000473,7.60,4.75,5.20,,,,4.25,6,8.75,Tiếng Anh
07001976,5.60,5.50,2.20,,,,4,4.75,5.25,Tiếng Anh
07000664,6.80,6.25,4.40,,,,4.75,6.50,7.50,Tiếng Anh
07002659,6.40,5,3.80,,,,4,6.50,8.25,Tiếng Anh
07000234,3,5.75,,,,,8,,,
07002209,4.60,4.25,,,,,5,4.75,,
07003048,7.20,5.50,3.60,,,,4,4.50,7.25,Tiếng Anh
07001075,5.80,3.75,2.20,,,,4.75,6.50,7,Tiếng Anh
07001425,7.80,7.25,5.20,,,,7.25,7.75,9,Tiếng Anh
07001130,3.40,4.25,,,,,4,6.75,,
07001560,4.20,5,4.60,,,,4.75,7,8,Tiếng Anh
07001833,4,5.50,3.60,,,,4.25,5,6.25,Tiếng Anh
07000721,6,6.25,3.20,,,,4.25,6,8,Tiếng Anh
07001999,4.80,4.50,4,,,,5.25,7.75,7.75,Tiếng Anh
07000371,5.80,3.25,3.80,,,,4.25,5.25,6.50,Tiếng Anh
07001649,3.80,6,,,,,3,3.50,,
07002966,8,7.25,4.80,,,,8,7.25,8.50,Tiếng Anh
07001219,7.40,6.75,2.60,,,,7.25,7.75,8.75,Tiếng Anh
07003224,4.80,2.25,,,,,4,3.25,,
07002065,3.80,2,,,,,4.50,5.75,,
07000058,4.80,3.25,,,,,4.75,,,
07002435,7.40,5.25,3,7,6.75,5.75,,,,Tiếng Anh
07000408,3.60,4.75,,,,,6.75,,,
07002120,4.20,4.50,,,,,2.50,4.75,,
07002570,4.40,2.75,,,,,3.75,6.50,,
07002823,6.20,5.25,4,,,,4.25,8.25,8.50,Tiếng Anh
07002989,7.80,8,5,,,,6.50,6.50,8.50,Tiếng Anh
07001188,6.80,7,3.20,,,,6,8.25,9.25,Tiếng Anh
07001472,3.60,4,2.20,,,,6.50,7.50,8.50,Tiếng Anh
07001022,6.60,5,2.80,,,,3.25,7,8.25,Tiếng Anh
07000799,6,5.50,4.20,,,,5.75,7.25,9,Tiếng Anh
07000263,3.20,4.50,,,,,6.25,,,
07001921,8.80,,,8.50,7.25,,,,,
07000633,6,6,4.40,,,,5.25,6.50,8,Tiếng Anh
07000326,5.60,5.50,4.80,,,,4.25,7,7.75,Tiếng Anh
07001864,8.20,6.50,6.60,5.75,7.25,7.75,,,,Tiếng Anh
07000776,6.40,6.75,,,,,7.50,9,,
07001537,4.80,4,5,,,,3.25,7.25,6,Tiếng Anh
07001167,7.60,7.50,5.20,,,,7.75,8.75,9,Tiếng Anh
07002462,5.80,5,3.20,,,,4.75,6.50,8.75,Tiếng Anh
07002198,7.20,6,3.40,,,,3.75,7.25,8.25,Tiếng Anh
07002032,7.40,5,5.60,,,,6.50,8.75,8.75,Tiếng Anh
07003273,4.60,6.50,3.80,,,,3.75,5,6.75,Tiếng Anh
07002931,5.40,5,5,,,,6.50,7.50,7.75,Tiếng Anh
07002874,8.40,4,3.60,5.75,7,6,,,,Tiếng Anh
07000849,5,7.25,3.80,,,,5,6.25,8,Tiếng Anh
07002527,4.60,5,3.40,,,,5.50,6.75,5.75,Tiếng Anh
07002177,5,6,3.60,,,,3.50,7.50,8.25,Tiếng Anh
07002618,6.40,8,3.40,,,,4.50,6.25,9,Tiếng Anh
07000625,4.80,6.75,4.20,,,,5.75,7.75,8,Tiếng Anh
07001937,5.80,6,3.80,,,,7.75,8,8.25,Tiếng Anh
07002248,4.40,6.25,3.20,,,,4.50,5.25,8.75,Tiếng Anh
07000275,8.20,6,2.80,7.75,6.50,4.75,,,,Tiếng Anh
07001034,2.80,3.75,,,,,3.75,4.50,,
07003009,6.60,6.50,4.60,,,,6,7.25,8.50,Tiếng Anh
07001464,8,6,5,,,,4,5.75,8,Tiếng Anh
07001171,6.40,5.50,4,,,,6.75,7.50,9.25,Tiếng Anh
07001521,3.80,3.25,2.60,,,,3.50,6.75,8.25,Tiếng Anh
07000760,5,5.25,3.40,,,,4,5,8,Tiếng Anh
07001872,5.40,7,4.20,,,,6.50,7.25,8.75,Tiếng Anh
07000330,5,6,4.20,,,,3.50,5,5.50,Tiếng Anh
07002927,1.80,0,,,,,2.50,3,,
07001608,5.80,7,2.20,,,,7.50,7.75,9.50,Tiếng Anh
07003265,3.40,4,,,,,3.25,4,,
07001258,5.20,6,3.20,,,,4.50,8,8.75,Tiếng Anh
07000019,9.20,6.50,5.60,8.75,8.75,5.75,,,,Tiếng Anh
07002024,6.80,4.75,2.60,,,,5.75,7.50,7.25,Tiếng Anh
07000449,4,4.75,,,,,7.75,,,
07002474,7.40,6.25,6,8,7.25,5.75,,,,Tiếng Anh
07002161,,5,,,,,8.25,8,,
07002531,3.80,6.25,5.40,,,,7,7.75,7.75,Tiếng Anh
07002862,8.60,5.50,3.40,8,6.75,5,,,,Tiếng Anh
07001433,5.60,5.50,3.80,,,,4.25,6,9.25,Tiếng Anh
07001599,5.60,6.75,4.80,,,,6.25,5.50,9,Tiếng Anh
07001063,7,7.75,5.20,,,,5.50,6.75,7,Tiếng Anh
07000222,3,2.75,,,,,2.75,,,
07000388,8.60,3.25,3,8,8,4,,,,Tiếng Anh
07000672,8.40,6.75,4.20,5.50,8.25,7.50,,,,Tiếng Anh
07001960,5,5.75,2.40,,,,5.75,7.50,7.75,Tiếng Anh
07000367,6,5.75,4.20,,,,4.50,6.25,6.75,Tiếng Anh
07000737,5.60,4.75,,,,,4.75,6.75,,
07001825,4,4,2.40,,,,6.25,6.75,7.50,Tiếng Anh
07001576,5.60,5,4.60,,,,3.25,6.50,7.50,Tiếng Anh
07001126,4.80,5,3,,,,5.50,7.25,7.75,Tiếng Anh
07002423,4.60,3.75,3.20,,,,5.75,6.25,8.75,Tiếng Anh
07002073,5.60,5,3.20,,,,4.50,5.50,7.50,Tiếng Anh
07002589,7.20,5,4.60,2.75,4.75,4.50,,,,Tiếng Anh
07003232,4.20,4.75,3,,,,3.25,4.50,6.75,Tiếng Anh
