Số báo danh,Toán,Văn,Ngoại ngữ*,Vật lí,Hóa học,Sinh học,Lịch sử,Địa lí,GDCD,Môn ngoại ngữ
60004722,5.60,7,4.40,,,,3.25,5.50,8,Tiếng Anh
60001520,5.20,8.50,6.20,,,,3.25,6.75,8.50,Tiếng Anh
60001035,6,7,,,,,9,,,
60003008,9.20,6.25,6.60,5,7.50,8,,,,Tiếng Anh
60004237,5.40,7.50,3.20,,,,3.50,7.75,8.50,Tiếng Anh
60001465,9,8.25,5.40,7.50,8.50,8.50,,,,Tiếng Anh
60003458,7.80,6,3.20,,,,7,7,8,Tiếng Anh
60004667,5,6,3.40,,,,3.50,5.50,8,Tiếng Anh
60001936,7.40,7,3.80,4.50,3.25,4.75,,,,Tiếng Anh
60002619,2.80,5,,,,,2.75,3.75,,
60000624,4.80,7.50,2.40,,,,5,7.75,8.75,Tiếng Anh
60005426,6.80,6.50,4.40,,,,7.50,8.50,9.75,Tiếng Anh
60002249,7.40,7.50,5.20,,,,8.25,8.50,9.25,Tiếng Anh
60000274,6,7,2.20,,,,4.50,7.25,7.75,Tiếng Anh
60005076,4.80,7.75,4.40,,,,5.25,5.50,9.25,Tiếng Anh
60003771,7.60,6.50,5.20,8,5.50,7,,,,Tiếng Anh
60002863,7,7.50,3.60,,,,5.75,7,7.50,Tiếng Anh
60003321,7,6,5,,,,5.25,6,8,Tiếng Anh
60002160,7.20,7.75,3.40,,,,6,6.50,7.75,Tiếng Anh
60002530,7.40,,,,7.50,6.50,,,,
60000018,8.20,5.50,7.20,7.50,7.75,7,,,,Tiếng Anh
60002025,8.20,7.50,4,,,,6.25,7.50,9.50,Tiếng Anh
60004958,7.40,7,4.60,6.75,6.75,6,,,,Tiếng Anh
60000448,5.20,6.75,3.40,,,,3.25,6.25,8.25,Tiếng Anh
60002475,5,6,4.40,,,,5.50,6.25,8,Tiếng Anh
60003634,5.40,6.25,2.60,,,,4.50,5.75,8.50,Tiếng Anh
60001609,5,7,,,,,6.25,,,
60002926,8.40,7.25,4.40,6.25,5.25,6.75,,,,Tiếng Anh
60003264,6.80,7,3.60,,,,7,7,8.25,Tiếng Anh
60001259,4.80,4,,,,,3.75,,,
60001577,7.80,7,5.40,,,,6,7,8.75,Tiếng Anh
60004775,6,6.75,4,,,,3.25,4.75,8,Tiếng Anh
60001127,6.20,6,4.20,,,,5,7.50,7.25,Tiếng Anh
60004325,5,6.50,3.60,,,,6.25,7.50,9,Tiếng Anh
60000366,5.60,4.75,2.60,,,,4.25,8,8.25,Tiếng Anh
60005164,6.80,7.50,3.60,,,,4.50,5.75,8.75,Tiếng Anh
60001824,8,5.50,3.40,6.50,4.75,5.50,,,,Tiếng Anh
60003819,8.60,7,5,7.25,8.25,6,,,,Tiếng Anh
60000736,6.40,6.50,3.60,,,,3,8,7,Tiếng Anh
60005534,4.20,8,2.60,,,,5.50,7.50,8.25,Tiếng Anh
60005021,7.60,7,7.20,6.25,7.50,6.25,,,,Tiếng Anh
60000223,3.60,6.25,1.60,,,,4.25,5.50,6,Tiếng Anh
60000389,5.80,6.50,2.60,,,,5.75,7.50,9,Tiếng Anh
60005471,9,7,4.40,,,,7.50,8,9,Tiếng Anh
60001961,4,6.25,,,,,4.50,6,,
60000673,7.40,6.25,4,6.50,7.25,6.75,,,,Tiếng Anh
60004630,4.60,5.25,4,,,,3,7,8.50,Tiếng Anh
60001432,7.60,4.75,3.80,,,,7.75,7,8.75,Tiếng Anh
60001598,8.20,7,5.20,7,8.25,6.75,,,,Tiếng Anh
60004260,9.20,7.25,5,8.75,7.50,7,,,,Tiếng Anh
60001062,9.20,8,8.60,7,6.50,5.50,,,,Tiếng Anh
60002567,5.40,6.25,3,,,,3.25,7.50,8.25,Tiếng Anh
60005308,5.60,7.25,4.40,,,,6,6.75,8.25,Tiếng Anh
60002137,7.40,7.50,3.20,,,,9.25,7.75,9.25,Tiếng Anh
60004149,7,8.25,3.40,,,,6.75,7.25,8.50,Tiếng Anh
60003376,6.40,7.50,3.40,,,,6.25,6,8,Tiếng Anh
60004519,7.40,7,3.80,7.50,7.75,4.50,,,,Tiếng Anh
60003726,8.20,7.75,6.80,,,,8.75,8,9.75,Tiếng Anh
60000809,6.60,7.75,5.60,5.50,5.25,3.50,,,,Tiếng Anh
60002834,8.20,7,3.20,6.25,7.25,6.75,,,,Tiếng Anh
60003233,5.80,6.50,3.60,,,,7,8.25,8.75,Tiếng Anh
60003663,3.40,4.50,3,,,,5.50,4.75,9.25,Tiếng Anh
60002971,8.60,8.50,6.80,7.75,7,7,,,,Tiếng Anh
60003399,6,5.75,4.20,6.50,6,5.50,,,,Tiếng Anh
60002422,7.20,6.50,3.20,,,,8,8.25,9.25,Tiếng Anh
60002072,7.60,6.25,3.80,4.50,3.75,4.50,,,,Tiếng Anh
60002588,4.60,7.25,2.60,,,,4,6.75,8.50,Tiếng Anh
60002265,7.80,7.25,5,,,,5.25,5.25,8.75,Tiếng Anh
60000258,4.40,7.50,3,,,,5,7.25,7.50,Tiếng Anh
60003927,6.20,7.50,3.40,,,,6.75,7.75,9.50,Tiếng Anh
60002635,4.40,6.75,2.80,,,,3.75,6.75,8.75,Tiếng Anh
60000608,5.40,6,4,,,,4.50,7,8.50,Tiếng Anh
60001449,4.20,7,,,,,5.75,6.25,,
60003474,7,6.75,4.80,,,,4,6.75,9,Tiếng Anh
60001019,8.40,7.50,7.80,,,,6,7,8.25,Tiếng Anh
60003024,8.60,6.75,3.20,8,5.25,4.75,,,,Tiếng Anh
60003531,7.60,8.50,6.60,,,,7.50,8.25,8.50,Tiếng Anh
60003161,6.40,6.75,4.20,,,,4.50,5,8,Tiếng Anh
60002320,7.60,7.75,5.40,7.25,5.25,6.25,,,,Tiếng Anh
60003862,6.20,6.25,3.40,,,,3,6.75,7,Tiếng Anh
60002770,8,8.25,5.60,6.75,9,7.50,,,,Tiếng Anh
60003248,7.20,8,3.40,,,,8.75,7.50,8,Tiếng Anh
60001275,8.80,8.50,,,,,9.75,,,
60004077,7.40,5.75,3.40,5.75,5.75,7,,,,Tiếng Anh
60003618,5.40,7,3,,,,7.50,7.50,7.50,Tiếng Anh
60001625,8.40,7,4.60,,,,6,7.75,8.75,Tiếng Anh
60000937,7.20,6.50,5,5.75,5.75,4.25,,,,Tiếng Anh
60004427,7.20,8.25,6,,,,4.50,5.75,8.50,Tiếng Anh
60000464,5.40,6,3.40,,,,4.25,6.25,7.75,Tiếng Anh
60002459,6.60,5.50,1.60,,,,6.25,7.50,9.25,Tiếng Anh
60004974,7,7,6.20,,,,5.75,5.50,9.50,Tiếng Anh
60000034,5,6.75,3.60,,,,4.75,7,7.75,Tiếng Anh
60002009,6.20,7,6.80,,,,5.25,6.50,8.25,Tiếng Anh
60005236,6.40,6,2.80,,,,3.50,7.25,7.50,Tiếng Anh
60004831,7.80,7,6,5.75,8.25,4.25,,,,Tiếng Anh
60000521,8,6.75,6,6.50,7.25,7.50,,,,Tiếng Anh
60005373,6.20,8.25,3.80,,,,6.75,7.25,8,Tiếng Anh
60000171,8.40,7.75,7,,,,6.75,7.25,8.75,Tiếng Anh
60004132,6.40,8,6,,,,8.50,8,9,Tiếng Anh
60001330,4.80,6,3.20,,,,4.25,6.75,7.25,Tiếng Anh
60004562,8.80,6.50,4,6.75,7.25,8,,,,Tiếng Anh
60004098,6.40,7.25,4.20,,,,4.50,7,8.25,Tiếng Anh
60001760,7.60,7,4.40,,,,6.50,7.25,9,Tiếng Anh
60000872,7.20,6.25,4.80,,,,5.75,6.75,8.50,Tiếng Anh
60003073,9,7.25,6.80,8.75,9.25,7.25,,,,Tiếng Anh
60003589,7.40,7,3.60,,,,4.50,7.25,7.25,Tiếng Anh
60003423,4.60,6.92,3.20,,,,3,6.50,7.75,Tiếng Anh
60003970,6,5,4.60,,,,5,7.25,8.75,Tiếng Anh
60002662,5.80,6.50,2.40,,,,4.50,7.50,8.75,Tiếng Anh
60002398,7.60,8,5.80,7.50,6.50,7.25,,,,Tiếng Anh
60002232,8.20,7.50,4.80,7,8,7.75,,,,Tiếng Anh
60005518,2.80,5.50,,,,,3,4.25,,
60001808,6.40,5.25,4,,,,5.25,5.50,8.25,Tiếng Anh
60003835,5,7.25,3.40,,,,2.75,5.25,8.75,Tiếng Anh
60002727,8.60,7.75,6.20,8.25,6.75,4.75,,,,Tiếng Anh
60005148,8.40,6.50,4.20,7.25,6.25,6.75,,,,Tiếng Anh
60002377,7.40,7.50,3.60,,,,5.50,7.25,7.75,Tiếng Anh
60004309,7.80,8.75,4.40,,,,9.50,8.75,9.75,Tiếng Anh
60003136,6.40,,,,8,8.25,,,,
60004759,7.80,7.50,4.60,8,7,5.50,,,,Tiếng Anh
60003566,4.40,4.75,2.40,,,,3.75,5.25,6.50,Tiếng Anh
60000599,4,,,4.75,3.50,,,,,
60005261,5,5,2.20,,,,4.75,7.50,8.50,Tiếng Anh
60000063,7.20,7.50,3.20,,,,5.50,7.25,8.25,Tiếng Anh
60004889,5.20,6,3.20,,,,5,6.50,7.25,Tiếng Anh
60004923,6.80,7.50,4.60,,,,8.50,8,9.25,Tiếng Anh
60000433,7.60,7.50,4.60,5.75,6.50,5.50,,,,Tiếng Anh
60001388,4.60,6.25,,,,,5.50,,,
60004470,7.20,7,7.40,,,,5,7.50,8.50,Tiếng Anh
60001672,6,8,4.60,,,,6.50,7.25,8.25,Tiếng Anh
60000960,6.60,7,8,,,,4.75,6.50,7,Tiếng Anh
60004020,8.40,7.25,6.60,,,,7.75,9,9,Tiếng Anh
60001222,7.60,6,5.60,3.25,4.50,4.50,,,,Tiếng Anh
60001737,8.40,8.25,5.40,,,,7.75,7.25,8.75,Tiếng Anh
60000825,6.80,7.50,3,,,,4.50,7,7,Tiếng Anh
60002818,9.80,7.50,5.80,8.50,7.75,6.25,,,,Tiếng Anh
60004535,4.20,5.75,2.60,,,,4,5.50,7,Tiếng Anh
60001367,5.20,8,6,,,,8.50,7.50,7.75,Tiếng Anh
60004165,8.40,8.50,5.80,,,,9.25,8.75,9.75,Tiếng Anh
60000126,6,6.75,3.60,,,,4.75,8.50,8.50,Tiếng Anh
60005324,6.20,8.50,2.80,,,,6.25,8,8.25,Tiếng Anh
60000576,8.80,7,4.20,7.50,7,4.75,,,,Tiếng Anh
60004866,7.60,6,5,,,,5.75,6.50,8.25,Tiếng Anh
60000219,4.80,6.75,3.40,3.50,2.25,4.25,,,,Tiếng Anh
60002224,7.20,7.83,4.20,,,,4.50,7.25,9,Tiếng Anh
60000649,8.40,8,6.60,6.50,7.25,5.75,,,,Tiếng Anh
60002674,5.60,6.50,4.40,,,,4.50,6,8.50,Tiếng Anh
60003966,7.80,7,5.60,,,,6.75,8,9.25,Tiếng Anh
60003435,2.80,3.25,,,,,4.25,4.50,,
60001408,4.40,6.50,,,,,5.50,6,,
60003065,6.80,8.50,5,,,,6.50,6.75,9.25,Tiếng Anh
60001058,8.60,,,,8.25,6.25,,,,
60003570,6,6.50,4.20,,,,3.25,5.75,6.25,Tiếng Anh
60003120,7.80,7,,,,,8.50,,,
60002361,7,5,3.80,,,,6.50,7.75,9,Tiếng Anh
60003989,6.40,8.25,5.20,,,,5.25,7.75,9,Tiếng Anh
60002731,6,7.25,3.60,,,,4.50,8.50,7.75,Tiếng Anh
60003823,6.20,6.50,2.80,,,,4.25,7,7.25,Tiếng Anh
60001234,5.80,6,,,,,7.75,5.75,,
60003209,8.40,,,,8.25,7,,,,
60004036,7.80,7.75,4.40,,,,8.25,7.50,9.75,Tiếng Anh
60000976,6.60,6,4,,,,6.50,7.25,8.25,Tiếng Anh
60001664,8,6.50,4.20,6.75,4.75,6.25,,,,Tiếng Anh
60003659,6,7.50,4,,,,4.50,7,8.50,Tiếng Anh
60004466,7.60,6.75,7.80,,,,8,7.75,8,Tiếng Anh
60002418,5.80,8,4.40,,,,5.50,7.75,8.50,Tiếng Anh
60000425,7.80,6.75,4.80,6.25,7,6.50,,,,Tiếng Anh
60004935,9,6.50,4,7.50,8.25,7.25,,,,Tiếng Anh
60002048,8.20,6,4,5.50,5,6.75,,,,Tiếng Anh
60000075,6.60,7.75,5.40,3,4,5,,,,Tiếng Anh
60005277,7.40,6.25,3.80,6.50,5,5.75,,,,Tiếng Anh
60004870,9.20,6.75,4.60,8,8.25,5.75,,,,Tiếng Anh
60005298,1.60,3.75,,,,,3.25,3.75,,
60000560,6,6.50,2,,,,3,7,8.25,Tiếng Anh
60005332,4.20,6.50,3,,,,5,8.75,8.25,Tiếng Anh
60000130,5.60,6,3.20,,,,4.75,6.75,7,Tiếng Anh
60000999,8.80,8,6,8.75,8.25,7.25,,,,Tiếng Anh
60004173,7.60,7.50,4.40,7.50,7,7.25,,,,Tiếng Anh
60004489,5.80,7,3.80,,,,4.25,6.50,7.50,Tiếng Anh
60001371,3.20,,,2.75,2.25,,,,,
60004523,8.40,6.75,5.60,8,6.25,5.25,,,,Tiếng Anh
60000833,7,7,3,,,,3.50,6.25,8.50,Tiếng Anh
60001721,8.80,7.75,8,6.25,8.50,8.75,,,,Tiếng Anh
60003032,7.20,7.50,4.60,,,,4.75,8.25,7.75,Tiếng Anh
60003462,7.80,8,5.80,,,,8.25,7.75,9,Tiếng Anh
60003198,2.80,6,2.40,,,,3.75,5.50,6,Tiếng Anh
60002623,3,5.50,2.40,,,,3.50,4.75,6.50,Tiếng Anh
60003931,7,8,3.80,,,,5.75,8.50,10,Tiếng Anh
60002273,7,7.50,4,5.25,7.25,6.25,,,,Tiếng Anh
60002789,7.80,7.50,5.60,,,,4.75,7.25,9,Tiếng Anh
60005559,8.60,8,4.80,5.75,8,6.25,,,,Tiếng Anh
60002766,8.60,7,4.60,6.75,7,6.75,,,,Tiếng Anh
60003874,3.80,6.75,3.80,,,,5,7.75,6.75,Tiếng Anh
60001849,3.20,5.42,3,,,,2.75,3.75,5.25,Tiếng Anh
60005109,6.80,6.50,2.60,,,,3.50,7.25,7.75,Tiếng Anh
60002336,7.40,6.75,3.40,,,,3,7.25,8.25,Tiếng Anh
60004348,7.80,5.25,4.20,7.50,7.25,5.75,,,,Tiếng Anh
60003177,6.20,7.50,5,,,,5.75,7,8.75,Tiếng Anh
60004718,6.40,7.25,5.40,,,,6.25,6,9.50,Tiếng Anh
60003527,8,6.75,4.80,,,,8.75,8.25,9.75,Tiếng Anh
60005220,8.20,5,3.80,6.50,4.50,6,,,,Tiếng Anh
60000022,8,7.25,5,,,,5.75,6.50,9.50,Tiếng Anh
60004962,6.20,7.50,5.20,,,,4.50,7,8.75,Tiếng Anh
60000188,8.40,7.25,7,8.25,8.25,6.75,,,,Tiếng Anh
60000472,7.40,8.25,5.80,,,,8.75,9,9.25,Tiếng Anh
60004431,7.60,7,3.40,6.75,5.25,4.75,,,,Tiếng Anh
60000921,,6,,,,,5,7.50,,
60001633,7.20,8,3.80,,,,9.25,9.25,10,Tiếng Anh
60001799,5,7.75,3.40,,,,6,7,8.75,Tiếng Anh
60004061,8,8,3.80,,,,6.50,7.25,9,Tiếng Anh
60001263,8,5.25,8.60,8.50,6.50,7.25,,,,Tiếng Anh
60002859,9.40,7.50,5.80,8.75,9.50,8.75,,,,Tiếng Anh
60000864,6.80,6.50,3.80,6.75,6.50,5.50,,,,Tiếng Anh
60001776,6.20,7.75,3.60,,,,7.25,7.25,8,Tiếng Anh
60004574,6.60,7.50,4.60,,,,3.25,5.50,8.25,Tiếng Anh
60001326,8.20,4.25,4.80,8.50,4.50,6.50,,,,Tiếng Anh
60004124,7.60,7.25,4.20,,,,4.25,7.25,9.50,Tiếng Anh
60000167,7.60,7.50,4.20,4.75,5,5.75,,,,Tiếng Anh
60005365,7.40,7.25,4.20,,,,5,7.50,8.50,Tiếng Anh
60000537,3.60,5.75,3.60,,,,4.50,5.25,7,Tiếng Anh
60004827,9,7.50,5.80,7.25,8.50,9,,,,Tiếng Anh
60004850,7.20,8.25,4.20,,,,4.75,5.75,8.50,Tiếng Anh
60002087,7.20,6.50,5,,,,7.25,7,8.25,Tiếng Anh
60000540,8,7.50,7.80,7.75,6,5.75,,,,Tiếng Anh
60005312,8.20,4.25,3,6.50,5.25,6.50,,,,Tiếng Anh
60000110,5.40,5.75,2.80,,,,2.75,6.25,6.25,Tiếng Anh
60002984,7,7,4.60,,,,7.75,7.25,8.25,Tiếng Anh
60004153,7.60,8.75,5.20,,,,7.25,8.50,9.50,Tiếng Anh
60003696,6.80,7,3.20,,,,4.50,5.75,7.25,Tiếng Anh
60001351,3,6.25,6.40,,,,,,,Tiếng Anh
60004503,8.40,7,6,7.50,8,5.50,,,,Tiếng Anh
60000813,7.40,7.75,6,5.50,5.50,4.25,,,,Tiếng Anh
60001701,8.40,7.50,5.40,6.75,5.75,7,,,,Tiếng Anh
60003229,7.80,7,2.60,5.25,5.50,3.50,,,,Tiếng Anh
60001214,6.80,7.75,,,,,9,7.50,,
60004016,7.80,7.25,4.40,,,,6,7.25,8.75,Tiếng Anh
60000956,9.40,6.25,5.20,,,,4,7.25,8,Tiếng Anh
60003679,3.80,6.50,2.60,,,,3,6.75,5.75,Tiếng Anh
60001644,7,5.75,4.40,,,,5.50,5.75,8.50,Tiếng Anh
60003383,6.80,7,3.40,,,,6.75,6.75,9.25,Tiếng Anh
60004446,5.40,6.50,4.20,,,,2,4.75,6.50,Tiếng Anh
60000405,6,5.75,4.20,,,,4.50,7.25,8.50,Tiếng Anh
60002438,6,7,2.40,4.25,4.50,6,,,,Tiếng Anh
60004915,8.20,8,5.20,5.50,6,5.50,,,,Tiếng Anh
60000055,7.80,6.75,7.60,7.50,3.25,3.50,,,,Tiếng Anh
60002068,7.60,8.25,5.20,,,,7.25,7.50,9.25,Tiếng Anh
60005257,5.40,6.75,,,,,7.25,,,
60002592,4,5.50,2,,,,3.50,,,Tiếng Anh
60003550,9,8,5.80,8,6.75,4.75,,,,Tiếng Anh
60004295,8,7,3.80,,,,3.25,7.75,9.75,Tiếng Anh
60001097,4.80,6,1,,,,5.25,5.25,8,Tiếng Anh
60003100,6.60,7,2,,,,4,5.75,7.50,Tiếng Anh
60005484,8.80,7.25,3.80,7.75,7.50,6.25,,,,Tiếng Anh
60002341,5.20,7.25,4.40,,,,5.50,6.75,8.50,Tiếng Anh
60000686,8.20,7,4.40,8,7.75,5.75,,,,Tiếng Anh
60001994,6.20,7.75,3.40,,,,6.75,7,8.25,Tiếng Anh
60002711,7.60,7.75,4.20,,,,7,7,8.75,Tiếng Anh
60003803,7.80,6.75,5.60,,,,6,8.25,8.25,Tiếng Anh
60002204,6.40,7.50,3.20,,,,6.25,6.50,8.25,Tiếng Anh
60000239,6.20,7.25,4,,,,4,7.25,8.75,Tiếng Anh
60000393,7,8.75,5.20,4.50,5.25,5,,,,Tiếng Anh
60002654,8.20,7.25,4.20,8.25,8.50,6.25,,,,Tiếng Anh
60005191,7,6.75,2.60,,,,3,7.25,8.50,Tiếng Anh
60000669,,8.50,,,,,9.25,9.50,,
60003946,7.60,7.50,4.40,,,,7,7,9.50,Tiếng Anh
60001428,7.80,7.50,7,6.25,7,7.25,,,,Tiếng Anh
60003415,7.60,7.75,4.60,,,,6.50,7.75,9,Tiếng Anh
60001582,7.40,6,,,,,9,6.75,,
60004780,8.20,7.75,8.20,7.75,4.25,4.75,,,,Tiếng Anh
60001078,5.40,6.50,,,,,5.75,,,
60003045,9.20,7.50,8.20,8.25,7.75,7.75,,,,Tiếng Anh
60000844,7.20,6.75,3,,,,5.75,8,7.75,Tiếng Anh
60002879,5.60,8,6.60,,,,6.25,8.25,6.75,Tiếng Anh
60001756,5.80,7.25,5,,,,6.50,7.25,8.50,Tiếng Anh
60003291,7.60,7,4.40,,,,6,6.50,9,Tiếng Anh
60004554,6,6.25,3.60,,,,4.25,6.50,7.50,Tiếng Anh
60001306,4.60,4.25,,,,,4.75,,,
60004104,8.80,7.25,6.40,7,8.25,7,,,,Tiếng Anh
60000147,7.80,7.25,4.20,6.25,7.50,6.25,,,,Tiếng Anh
60005345,5.20,5.75,3.60,,,,4.25,6.25,7.25,Tiếng Anh
60002480,7.80,6.75,4.20,4.75,6.50,5,,,,Tiếng Anh
60000517,8.20,7.25,3.40,,,,4.50,7.25,8.75,Tiếng Anh
60004807,7,8.50,3.60,,,,4.50,5.75,8.25,Tiếng Anh
60005200,7.80,7.25,4.60,6.50,6.75,6.25,,,,Tiếng Anh
60000002,7.20,6.50,7.40,,,,6.25,6.50,9.25,Tiếng Anh
60004942,6.80,6.75,5.20,,,,5.75,6,8,Tiếng Anh
60002195,6,7,5.80,,,,2.75,7.25,7,Tiếng Anh
60000452,7.40,8,4.40,7.50,7.25,6.50,,,,Tiếng Anh
60004411,9,7.25,4.60,7.75,8.25,6.50,,,,Tiếng Anh
60000901,7.20,6.50,8,,,,6,8,7.75,Tiếng Anh
60001613,8.20,7.75,6.60,,,,5.50,7.75,9,Tiếng Anh
60002896,7.20,7.50,6.40,7.50,6,4.75,,,,Tiếng Anh
60004041,7.80,7.25,3.80,6.25,5.50,6,,,,Tiếng Anh
60003784,7,6.50,3.80,,,,5.50,6.50,8,Tiếng Anh
60001243,8.80,7.83,,,,,8.75,,,
60000281,7.60,8,7,5.75,5.50,6,,,,Tiếng Anh
60005579,7.60,6.50,4,,,,8.50,7,8.50,Tiếng Anh
60002746,7,6.25,4.40,,,,7.75,8.25,7.75,Tiếng Anh
60005083,4.80,7.50,2.40,,,,5.25,7.50,9,Tiếng Anh
