Số báo danh,Toán,Văn,Ngoại ngữ*,Vật lí,Hóa học,Sinh học,Lịch sử,Địa lí,GDCD,Môn ngoại ngữ
10002067,4.60,6.75,4.20,,,,3.25,5.75,7.50,Tiếng Anh
10008190,4.40,6.25,3.20,,,,2.75,7,6.75,Tiếng Anh
10007265,6,6.25,2.60,,,,4.25,6.50,9.25,Tiếng Anh
10005258,7.20,6.75,4,,,,8.75,8.50,9,Tiếng Anh
10002437,7,8.25,4.80,,,,6.75,7.50,8.75,Tiếng Anh
10007635,7.80,6.25,4,,,,6.75,7.75,8.75,Tiếng Anh
10005608,3.60,4.50,4.80,,,,4,6.25,8,Tiếng Anh
10006927,6.20,8,7.20,,,,6.25,7.25,8.75,Tiếng Anh
10003676,9,8.25,6.2,7.75,8,6.75,,,,Tiếng Anh
10002964,3.80,4.25,2.80,,,,8.25,6.50,8.25,Tiếng Anh
10000959,5.80,8.50,6.20,,,,5.75,6.25,8.25,Tiếng Anh
10004449,4.60,5.50,2.20,,,,7.50,7.50,9.25,Tiếng Anh
10006474,9,7.25,4.60,7.75,5.75,6.25,,,,Tiếng Anh
10003226,4.20,5.75,2.60,,,,5.25,6,6.75,Tiếng Anh
10004019,7.60,8,6.20,,,,9.25,8,9.50,Tiếng Anh
10006024,8.60,6.75,3.80,7.50,7.50,5.25,,,,Tiếng Anh
10006531,6.20,7,2.40,,,,5.50,7,8,Tiếng Anh
10003733,2.8,3.5,1.4,,,,4.75,6,6.5,Tiếng Anh
10002821,3.80,5,2.40,,,,7.25,7.25,9,Tiếng Anh
10006161,7.60,4.75,7,5.50,5.50,4,,,,Tiếng Anh
10003699,2.4,4.25,,,,,5,6.5,,
10003363,5.80,7,3,,,,6.25,8,9.50,Tiếng Anh
10007320,7.60,8,5.60,,,,8.25,9.50,9.50,Tiếng Anh
10002122,3,5,3,,,,5.25,6,7,Tiếng Anh
10008485,2.80,3.75,,,,,3,4.75,,
10007770,5.40,7.50,3.80,,,,5.50,7.50,8.50,Tiếng Anh
10002088,3.80,4,3.60,,,,4,6,7.75,Tiếng Anh
10006862,3.60,3,,,,,3.25,5.25,,
10002572,1.80,5.75,1.40,,,,4.50,6.50,8.25,Tiếng Anh
10006248,3.20,5.75,2.60,,,,4.50,6.75,6.50,Tiếng Anh
10004275,7.20,8,6.60,,,,8.50,7.75,9,Tiếng Anh
10001077,8.80,7.25,6.60,7.75,5.50,5.50,,,,Tiếng Anh
10005937,4,4.25,2.60,,,,5.25,6.50,7.75,Tiếng Anh
10006618,6.80,7.75,4.20,,,,7,6.25,7.25,Tiếng Anh
10004625,,8,,,,,2.50,2.75,,
10001427,8.80,7.75,4.20,6,7,8,,,,Tiếng Anh
10005464,3.60,7,4.40,,,,8.75,8.50,8.50,Tiếng Anh
10007459,4.20,5,3,,,,3.25,6,7,Tiếng Anh
10008256,7.80,6.75,3,,,,7,8,9.25,Tiếng Anh
10003949,7.80,6.75,4.60,,,,7,7.50,8.25,Tiếng Anh
10001974,7,7,3.80,5.25,5.25,3.25,,,,Tiếng Anh
10000666,6.80,,,4.75,,,,,,
10005034,6.40,7.25,4.80,,,,5.25,6.75,6.50,Tiếng Anh
10007009,5.40,5.25,3.80,,,,4.50,6,8.50,Tiếng Anh
10008606,4,6.75,2.60,,,,6.75,6.75,8.25,Tiếng Anh
10000236,7.20,7.25,7,,,,4.75,6.50,8.25,Tiếng Anh
10008313,4,5.50,2.60,,,,5.25,6.25,8.25,Tiếng Anh
10001831,4.60,3.25,1.40,,,,4.50,5.50,5.50,Tiếng Anh
10000723,8.20,8.75,,,,,10,2.25,,
10005521,4.60,6.25,3,,,,3,6.50,7.25,Tiếng Anh
10008743,5.60,6.75,3,,,,3.50,8,8.25,Tiếng Anh
10000373,6.20,7.25,,,,,6.75,7.25,,
10000689,7.20,8,4.60,,,,4.75,7.25,8.25,Tiếng Anh
10005171,3.40,5.75,3.40,,,,4.25,7.75,8.25,Tiếng Anh
10001132,2.40,3,,,,,5.25,,,
10004330,5.20,3.50,2.80,,,,5,6.25,7.25,Tiếng Anh
10001562,7.20,5.50,2.80,,,,4.50,6.75,8.25,Tiếng Anh
10005872,6.60,5.25,3.20,,,,5.25,6.75,8.25,Tiếng Anh
10001098,6.80,6.50,4.20,,,,4.75,6.25,6.50,Tiếng Anh
10004760,5,6,,,,,7.25,7.25,,
10006073,4.60,5.75,2.20,,,,5.75,7.50,9.25,Tiếng Anh
10002899,7.40,6.50,5.60,,,,5.75,6.75,7.75,Tiếng Anh
10003271,3.80,5,3.40,,,,5.25,5.75,7.25,Tiếng Anh
10006589,5.80,5.50,2.20,,,,4.50,5.25,7.75,Tiếng Anh
10006423,5.40,5,2.80,,,,5,7.25,8.25,Tiếng Anh
10003621,5.60,7,2.80,,,,5.25,7.25,9,Tiếng Anh
10002933,3.60,5.75,2,,,,4.25,5,6.50,Tiếng Anh
10008597,6.20,7.25,4.80,,,,6.50,8.75,9.75,Tiếng Anh
10007662,5,7.50,3,,,,6.50,8.25,8.50,Tiếng Anh
10006970,6.20,7.50,2.60,,,,8.75,7,9,Tiếng Anh
10002460,4.60,5,1.40,,,,3.75,5.75,8.25,Tiếng Anh
10007398,8.60,7,4.80,8,7.25,5.25,,,,Tiếng Anh
10007232,9.20,7.75,9,6.25,8.50,9,,,,Tiếng Anh
10002030,2.20,2.75,3,,,,3.50,3.75,1.75,Tiếng Anh
10002525,2.40,6.75,2,,,,4.50,7.25,8.25,Tiếng Anh
10000518,2,3.25,,,,,7.50,8,,
10008128,2.80,3.50,,,,,4.25,7.75,,
10007727,4.80,7,3.40,,,,5,7,8.75,Tiếng Anh
10004808,4.60,5.25,3.80,,,,4.50,6.75,7.75,Tiếng Anh
