Số báo danh,Toán,Văn,Ngoại ngữ*,Vật lí,Hóa học,Sinh học,Lịch sử,Địa lí,GDCD,Môn ngoại ngữ
08005533,5,4.50,3.40,,,,3.50,6.25,6,Tiếng Anh
08001823,7.20,7,4.60,6.75,7.25,7.25,,,,Tiếng Anh
08000731,3.80,6.75,,,,,5,7.25,,
08001989,5.80,6,3.40,,,,4.50,6.25,9,Tiếng Anh
08005163,8.60,7,3.80,8.25,7,7.25,,,,Tiếng Anh
08000361,5.80,5.25,2.20,,,,4.50,6.75,7.25,Tiếng Anh
08005499,6.60,5.75,3.60,,,,6.25,7.25,9.25,Tiếng Trung
08004322,8.80,6.50,8.20,9.25,5.25,4.50,,,,Tiếng Anh
08001120,5.40,5.75,2.40,,,,3.50,6,8,Tiếng Anh
08005860,6.40,7.25,3.60,,,,5,6.75,9,Tiếng Anh
08004772,3.80,6,3,,,,3.25,6.25,8.50,Tiếng Anh
08001570,5.40,5.50,3,,,,6.25,6.25,8,Tiếng Anh
08004288,8.80,7.50,3.40,,,,7.50,7.25,7.75,Tiếng Anh
08003058,8.80,6.25,4.60,6,5.75,5.75,,,,Tiếng Anh
08001065,5.40,7.50,4.60,,,,4.50,7,8,Tiếng Anh
08004267,6.60,5.50,,,,,6.25,7.25,,
08003408,2.60,4,,,,,5.75,,,
08001435,4.40,5.50,3.80,,,,4.25,7,8.75,Tiếng Anh
08005925,4.20,5.75,2.60,,,,4.50,5.50,7.50,Tiếng Anh
08004637,5.40,6.75,2.40,,,,5.50,7.50,9,Tiếng Anh
08001966,5.80,5.50,,,,,5,7,,
08000674,6.80,7,2.80,5,6.75,5.25,,,,Tiếng Anh
08002649,6.80,7.50,5.60,,,,4.50,7.25,8,Tiếng Anh
08005476,6.40,7,5.40,,,,7.25,7,7.75,Tiếng Anh
08000224,5.20,6.50,4.60,,,,5.25,6,8.50,Tiếng Anh
08002219,6.80,5.50,5.20,,,,6.50,8.50,9.25,Tiếng Anh
08005026,6.60,8,3.60,,,,9,8.75,9,Tiếng Anh
08003721,8,6.25,3,3.75,5.75,5.50,,,,Tiếng Anh
08002833,7,7.50,5.40,,,,7.75,8,9,Tiếng Anh
08003371,6.80,8,,,,,8.75,,,
08006173,8.40,7.25,6.20,7.75,6.50,6,,,,Tiếng Anh
08002999,6.60,6.75,4.20,4.50,4.75,3.50,,,,Tiếng Anh
08002130,5.20,5,4,,,,4.75,6.75,7.25,Tiếng Anh
08002560,5.80,5.25,3.80,,,,7.75,8.25,9.25,Tiếng Anh
08002075,3.80,7,,,,,3.50,6,,
08000048,4,5.50,2.80,,,,2.75,4.75,6.25,Tiếng Anh
08004908,7.80,7.75,5,8,4.25,4.50,,,,Tiếng Anh
08002425,8.20,7.75,8.20,7.25,7.50,6.25,,,,Tiếng Anh
08000418,6.20,7,3.80,,,,7,8.50,9.25,Tiếng Anh
08001659,5.40,5.75,1.80,,,,4.75,7.75,8,Tiếng Anh
08003664,6.40,7.25,2.60,,,,4.50,5.75,7,Tiếng Anh
08002976,8.20,8,6.20,,,,7.75,6.25,7.75,Tiếng Anh
08006036,6.40,6,3.80,,,,7.25,6.75,9.25,Tiếng Anh
08001209,2.60,5.25,2.60,,,,5,5.75,8,Tiếng Anh
08003234,2.60,5.25,,,,,5.75,,,
08001527,5.60,5,3.40,,,,3.50,7.25,8,Tiếng Anh
08005837,6,7.75,4.80,,,,6.75,7.25,8.75,Tiếng Anh
08004725,6.40,7.50,2.80,,,,5.50,8,9.25,Tiếng Anh
08001177,4.40,6,3,2.25,2.50,3.50,,,,Tiếng Anh
08006348,7.40,6.75,3.80,,,,7,8,9.25,Tiếng Anh
08004375,9.20,7,5.60,4,7.75,8.50,,,,Tiếng Anh
08000336,5.40,5.50,3.40,,,,5,6.50,9.25,Tiếng Anh
08005134,4.80,7,,,,,3.75,5.50,,
08003849,9,,,5,6,5,,,,
08001874,7,6.75,3.80,,,,8,9,9.25,Tiếng Anh
08000766,6.60,6.75,3,,,,6.75,7.75,9.75,Tiếng Anh
08005564,7.40,6.50,5.60,7.25,7.75,5.25,,,,Tiếng Anh
08005071,4.60,5.75,3,,,,5.75,8,8,Tiếng Anh
08000789,7,6.50,4.40,,,,7.75,8.25,9.75,Tiếng Anh
08000273,7.80,6.25,5,,,,5,8,9.50,Tiếng Anh
08005421,6.40,4.75,4.60,,,,6.50,7.75,8.50,Tiếng Trung
08001931,4.40,6,5.20,,,,4.50,7,9.50,Tiếng Trung
08000623,3.80,5.25,3.20,,,,3.75,5.75,7.50,Tiếng Anh
08005972,6.80,8,4.60,,,,3.50,6.50,8.50,Tiếng Anh
08004660,3.20,6,1.80,,,,5.25,6.50,7.50,Tiếng Anh
08001198,5.20,7,2.80,,,,5,5.25,9,Tiếng Anh
08001462,7.40,7.50,3.80,,,,8,8.50,9,Tiếng Anh
