Số báo danh,Toán,Văn,Ngoại ngữ*,Vật lí,Hóa học,Sinh học,Lịch sử,Địa lí,GDCD,Môn ngoại ngữ
40000173,6.40,7.25,3,5.25,4.75,5,,,,Tiếng Anh
40004999,5.40,6,4,,,,5.25,6,6.25,Tiếng Anh
40014560,8.8,7.75,6.2,,,,6.75,8,8.25,Tiếng Anh
40011298,6.40,5.50,5.20,,,,3,6,6.75,Tiếng Anh
40008543,4.40,5,2.20,,,,4.75,6.75,7.75,Tiếng Anh
40010870,2.80,3.50,,,,,3.50,5,,
40011762,7.40,6.50,4.80,,,,4.75,6.25,7.50,Tiếng Anh
40019352,9.4,7,8.4,7,4.5,4.25,,,,Tiếng Anh
40005371,1.80,2.75,,,,,3,2.25,,
40000489,6.20,4.25,3.60,,,,6.25,8.50,8.50,Tiếng Anh
40000523,5,6.25,2.80,,,,4.25,7.50,9,Tiếng Anh
40008113,7,6.75,3.20,5,6.25,3.75,,,,Tiếng Anh
40014130,3,1.5,2.4,,,,4.75,5.25,6.25,Tiếng Anh
40011332,6.60,5.50,2.60,,,,3.50,5.75,7.50,Tiếng Anh
40018810,8.8,6.5,6.4,7.5,8,5.75,,,,Tiếng Anh
40005721,5.20,5.50,3,,,,6.25,8.25,8.75,Tiếng Anh
40004833,5,4.50,2.20,,,,3.50,6,7.25,Tiếng Anh
40001762,7.20,6.25,3,7.50,7.75,5.25,,,,Tiếng Anh
40000870,3.80,6,2,,,,2.25,5.25,6.75,Tiếng Anh
40015371,,7.25,,,,,7.75,8.75,,
40010489,4.40,5,2,,,,6.50,5.50,6.50,Tiếng Anh
40009352,8,6.50,3.60,6,8.25,5,,,,Tiếng Anh
40014999,5,5.75,2.4,,,,5,7,8.5,Tiếng Anh
40010173,3,5.25,2,,,,3,4,7.25,Tiếng Anh
40018543,8.4,6.25,8.4,,,,7.25,8,8.25,Tiếng Anh
40004560,8.60,6.25,4,8,7.50,5.50,,,,Tiếng Anh
40001298,3,5.67,2.80,,,,5.25,7.75,9.25,Tiếng Anh
40001332,7,8,2.60,,,,8.50,8.50,8.50,Tiếng Anh
40014833,3.6,4.75,,,,,4,7,,
40009702,4.40,5,2.80,,,,2,5,4,Tiếng Anh
40008810,8.40,6,3.20,7.75,8,3,,,,Tiếng Anh
40015721,9,5.75,6.6,6,5.5,5.25,,,,Tiếng Anh
40010523,6.20,5.25,1.60,,,,4.25,6.25,7.50,Tiếng Anh
40004130,6,6,1.80,,,,6,8.50,8.75,Tiếng Anh
40018113,7.8,5.75,7.6,,,,5.5,6.75,9.25,Tiếng Anh
40010036,4.60,6.75,1.60,,,,4.50,6.25,6.50,Tiếng Anh
40018406,8,7.75,4.6,,,,7.25,8.75,8.5,Tiếng Anh
40006418,4,6.50,1.80,,,,3.75,7,8,Tiếng Anh
40004425,7.60,6.75,3.60,6.50,8.75,5,,,,Tiếng Anh
40001627,2,3.75,,,,,3.50,7,,
40000935,5.80,8.50,3.80,,,,6.50,7.75,8,Tiếng Anh
40002908,8.20,8.75,7,7,7.25,6.25,,,,Tiếng Anh
40015234,3.4,6,2.8,,,,5.5,7.5,8.75,Tiếng Anh
40017209,8.4,7.75,6.4,7.75,7.25,5.75,,,,Tiếng Anh
40009217,7,4,2.80,,,,5.25,5.50,6.25,Tiếng Anh
40010466,8.80,6,4.40,7,6.25,6.50,,,,Tiếng Anh
40006048,3.80,5.75,2.80,,,,7.75,6.25,8,Tiếng Anh
40004075,3.60,3.50,2,,,,,,,Tiếng Anh
40018056,8.6,7.5,7.2,8.25,7,6.25,,,,Tiếng Anh
40001277,9.40,6.25,4.20,8.25,8.75,4,,,,Tiếng Anh
40009647,7.80,6.50,4.20,7,7.50,5.25,,,,Tiếng Anh
40014976,8.6,7.5,6.4,4.25,9.5,8.5,,,,Tiếng Anh
40015664,7.6,8.75,4.2,6.5,8.75,5.5,,,,Tiếng Anh
40008955,8.80,7.75,4.40,,,,7,7.75,8.50,Tiếng Anh
40017659,9.8,6,6.4,9.25,9,5.75,,,,Tiếng Anh
40010935,3.60,2.50,,,,,3.25,4,,
40012908,4.20,6.25,3.60,3.50,3.25,5,,,,Tiếng Anh
40011627,5.80,6.50,3.20,,,,5.50,7.25,8.25,Tiếng Anh
40019217,9.6,5.5,5,4,9.25,9.75,,,,Tiếng Anh
40005234,8,6,4.80,7.50,7.50,5,,,,Tiếng Anh
40007209,7.60,6.75,3.60,4.75,8,5.75,,,,Tiếng Anh
40000036,9,7.50,6.20,7.50,7.50,5.50,,,,Tiếng Anh
40016418,8.2,8,7,,,,6,7.25,8,Tiếng Anh
40014425,7.2,7.25,5.2,5.75,3.75,6.75,,,,Tiếng Anh
40008406,7.20,3.75,3.20,6.50,6,4.25,,,,Tiếng Anh
40011277,6.80,6.50,3.80,,,,3.75,7.50,7.75,Tiếng Anh
40005664,4.20,5.75,2,,,,4,6.75,7.75,Tiếng Anh
40018955,9.4,6.75,4,7.75,8,2.5,,,,Tiếng Anh
40007659,6.40,4.75,1.60,,,,7.75,8.75,8.75,Tiếng Anh
40004976,4.80,5.75,,,,,3.25,,,
40000466,3,5.25,2.80,,,,4.50,6.25,6.25,Tiếng Anh
40008056,9.20,6.25,5.20,9,9.50,5,,,,Tiếng Anh
40016048,4.6,4,,,,,4,5.5,,
40014075,2.8,6.25,,,,,5.5,5,,
40003499,6,6.25,3,,,,4.25,5.75,7.25,Tiếng Anh
40006361,2.20,3.50,2.80,,,,4.25,5,8.50,Tiếng Anh
