Số báo danh,Toán,Văn,Ngoại ngữ*,Vật lí,Hóa học,Sinh học,Lịch sử,Địa lí,GDCD,Môn ngoại ngữ
50009674,8.60,8.50,3.60,7.50,7.50,5,,,,Tiếng Anh
50012192,7,6.67,3.20,,,,3.75,7.25,9.25,Tiếng Anh
50008966,6.80,8.25,4.20,,,,4.75,7.75,9.50,Tiếng Anh
50003279,6.60,8,4,7.50,6.25,5,,,,Tiếng Anh
50006581,6.60,,,5.50,6.25,,,,,
50001244,5.80,7,2.80,,,,4.75,7,7.50,Tiếng Anh
50003783,9,8,,,,,8.50,,,
50004046,8,7.25,5.20,5.25,8.50,9,,,,Tiếng Anh
50002891,7,6.50,3.60,,,,6.75,7.75,8.50,Tiếng Anh
50010455,4.40,7.16,,,,,7,7,,
50012468,5,6.25,3.20,,,,4,6.25,7.50,Tiếng Anh
50009224,6.20,6.50,3.20,,,,5,7,8.25,Tiếng Anh
50003629,6.60,5.50,4.40,,,,5.25,7.25,8.50,Tiếng Anh
50001614,8.60,8.25,5.40,7.50,8.75,6,,,,Tiếng Anh
50000906,7.80,7.50,3.80,7,6.50,5,,,,Tiếng Anh
50004416,8.80,7.50,5.60,,,,7.25,7,8.50,Tiếng Anh
50010005,6.40,5.75,3.40,,,,5,7.50,8.25,Tiếng Anh
50012038,5.20,6,3.80,,,,4.75,5,9,Tiếng Anh
50012891,6.60,7.50,3.20,,,,4.25,7,9.25,Tiếng Anh
50008065,7.60,6.50,5,,,,5,8,8.75,Tiếng Anh
50000455,8.60,7.50,4.80,7.25,6,5,,,,Tiếng Anh
50002468,8,6.50,6.20,7.25,5,4.25,,,,Tiếng Anh
50007390,8.20,7.50,2.80,8.25,8,6.75,,,,Tiếng Anh
50005657,3.20,5.50,3,,,,4.75,5.50,6.50,Tiếng Anh
50002192,7.40,7.50,6.80,,,,8.50,9,9.50,Tiếng Anh
50006978,7.20,7,5,5.25,7.75,5.75,,,,Tiếng Anh
50004945,6.20,6.75,3.80,,,,5.50,6.25,7.50,Tiếng Anh
50013279,8.80,5,5,8.25,8.50,5.25,,,,Tiếng Anh
50011244,4.80,6,3,,,,8.25,7,9.50,Tiếng Anh
50008435,6.40,7.50,3.40,,,,5.75,6,8.75,Tiếng Anh
50000005,8.40,9,6,8.50,7.25,6.25,,,,Tiếng Anh
50002038,7.40,6.75,3.20,5,5.75,6.25,,,,Tiếng Anh
50005207,8.60,6.75,6.40,7.75,7.25,6,,,,Tiếng Anh
50010906,5.80,7,4,5.25,3.50,3,,,,Tiếng Anh
50011614,7.80,6,3.40,,,,5.50,8.25,8.75,Tiếng Anh
50005712,6.60,6,3.40,4,4.50,6.25,,,,Tiếng Anh
50004800,6.60,7.25,7,,,,6.50,6.75,10,Tiếng Anh
50011301,7.20,7.75,3.60,,,,4,6.25,8.75,Tiếng Anh
50008120,8.60,8.50,6.40,7,7.75,6.75,,,,Tiếng Anh
50000510,7.60,7,4.80,6.50,5.50,7.50,,,,Tiếng Anh
50002487,4,7.50,3,,,,4.25,7,9.50,Tiếng Anh
50005342,7.20,7.50,6.40,,,,2.75,6.50,7.75,Tiếng Anh
50010843,5.80,6.50,4.40,6.75,6.50,4.75,,,,Tiếng Anh
50011751,4.60,7,2.60,,,,2.75,7,8.50,Tiếng Anh
50013296,6.40,7.50,3.40,,,,4,7.25,7.50,Tiếng Anh
50008570,6,7.50,3.20,,,,3.25,7,8.25,Tiếng Anh
50007685,6.60,7,5,,,,4.75,6.25,8.75,Tiếng Anh
50000140,3.40,6.25,4.40,,,,4,5,7.50,Tiếng Anh
50006997,8,7.50,4.80,5.50,6,5,,,,Tiếng Anh
50004103,7.20,6.75,5.40,6.25,7.50,7.25,,,,Tiếng Anh
50010510,7.80,8.50,4.40,6.25,5.25,4.50,,,,Tiếng Anh
50009731,7.80,7.25,4.80,6,6.75,6,,,,Tiếng Anh
50008823,6.40,7.25,4.40,,,,3.25,6.25,7.25,Tiếng Anh
50001301,7.40,7,4.60,7.50,8.25,7.50,,,,Tiếng Anh
50004553,8,7.75,4,,,,5.50,6.75,8.50,Tiếng Anh
50003296,8.60,6.75,3.80,7.75,7.25,5.25,,,,Tiếng Anh
50008989,7,9,6,,,,7.50,8.75,9.25,Tiếng Anh
50010140,7.60,7,5.40,,,,5.50,7.75,8.25,Tiếng Anh
50012487,6.60,8.75,4.40,,,,3.75,6.75,8.50,Tiếng Anh
50009361,7.80,7.75,4.60,,,,5.75,6.75,9.75,Tiếng Anh
50001751,7.20,7.25,3.40,6.50,6.25,6.25,,,,Tiếng Anh
50006094,8.60,6,7.40,8.50,6,4.75,,,,Tiếng Anh
50000843,7.60,7.75,3.20,6.75,8.50,6,,,,Tiếng Anh
50011478,5.60,7.50,4.40,,,,5.75,6.25,8.50,Tiếng Anh
50001881,6.60,7.75,3.80,3.75,5.25,4,,,,Tiếng Anh
50007056,8,7,5.40,6.75,6.75,5.25,,,,Tiếng Anh
50000793,8.40,8.25,8.60,7.25,5.50,6,,,,Tiếng Anh
50002254,7.80,7.50,5.20,7.75,4.50,4.50,,,,Tiếng Anh
50005591,6,7,3.80,,,,2.50,6.75,8.25,Tiếng Anh
50000269,7.80,7.25,4.40,7.75,7.50,5.50,,,,Tiếng Anh
50011182,6,6,3.60,,,,5.75,8.75,7.75,Tiếng Anh
