Số báo danh,Toán,Văn,Ngoại ngữ*,Vật lí,Hóa học,Sinh học,Lịch sử,Địa lí,GDCD,Môn ngoại ngữ
04002882,4.6,4.25,,,,,4,6.5,,
04004055,7.2,7.25,4.8,,,,5.75,6.75,7.75,Tiếng Anh
04006068,9.2,6.5,8.4,7.25,9,6.25,,,,Tiếng Anh
04003790,4.6,4.25,2.4,,,,5.5,7,8.75,Tiếng Anh
04010446,6.8,5.75,4,,,,6,8.25,9.75,Tiếng Anh
04008975,5,5.75,3.2,,,,3.25,5.75,6.75,Tiếng Anh
04009667,7.4,6.5,3.2,,,,5.5,7.25,9.25,Tiếng Anh
04001257,8.6,5,4.4,6,6.25,5.25,,,,Tiếng Anh
04006592,7.6,5.75,5.6,7,7,4.5,,,,Tiếng Anh
04004405,8.8,7,4.2,7,7,6,,,,Tiếng Anh
04006438,8.8,5,6.8,6.25,5.75,4.5,,,,Tiếng Anh
04010016,10,7.75,8.6,9,7.25,6.5,,,,Tiếng Anh
04009237,9.2,4.5,4.6,7,6.75,6.25,,,,Tiếng Anh
04002928,3.2,7,,,,,3.75,5.5,,
04000915,6.6,5.5,2.6,,,,3.5,6.5,8.25,Tiếng Anh
04001607,8.6,6.5,8,8.25,7.5,5.75,,,,Tiếng Anh
04004956,8.2,5,7,,,,4.5,7.25,9.75,Tiếng Anh
04007679,6.6,7,6,,,,5.75,7,10,Tiếng Anh
04002181,8.8,7,5.8,8.75,8,5.5,,,,Tiếng Anh
04005644,8.4,5.5,7.6,4.75,2.5,5,,,,Tiếng Anh
04008076,6.6,6.5,2.8,3.25,5.25,4,,,,Tiếng Anh
04007383,7.8,5.25,7.4,,,,3.5,4.25,7.25,Tiếng Anh
04000446,4.2,6.25,3,,,,5,7,8.5,Tiếng Anh
04007229,8.8,7,6.2,7.25,4,5.25,,,,Tiếng Anh
04005214,7.8,7.75,7,7.75,5.5,5,,,,Tiếng Anh
04010915,5.6,5.5,3.8,,,,3.5,5.75,8.75,Tiếng Anh
04008426,6,6,1.4,,,,6,7.25,9.75,Tiếng Anh
04000016,5.2,6.25,4.6,,,,3.75,5.75,9.5,Tiếng Anh
04008133,9.6,7,4,8.75,8.5,6.25,,,,Tiếng Anh
04000503,6.8,5.25,2.6,,,,5.25,5.5,8,Tiếng Anh
04004813,5.6,5.75,2.2,,,,4.5,6.25,7.75,Tiếng Anh
04005701,5.6,6.5,8,3.5,4,5.75,,,,Tiếng Anh
04008563,5.6,6.25,2.4,,,,5.5,6.25,8.25,Tiếng Anh
04006984,6.8,6,4,3.75,4.25,4,,,,Tiếng Anh
04000153,8.6,6.5,6.8,7.25,5,3.75,,,,Tiếng Anh
04007696,8,7.5,6.4,,,,4.75,6.75,8.25,Tiếng Anh
04005351,8,8.25,6.6,,,,7,8,9.75,Tiếng Anh
04002494,8.6,8,6.2,,,,6.25,9,9.25,Tiếng Anh
04010850,5.2,6.5,2,,,,2.25,7,8.25,Tiếng Anh
04008099,8,6,3.6,,,,5,6.5,9,Tiếng Anh
04008830,7.8,8.5,8.2,,,,5.25,6.25,10,Tiếng Anh
04009722,8.6,6.5,6.6,8.25,4,5.5,,,,Tiếng Anh
04001312,5.8,8,4.2,,,,5,5.25,8,Tiếng Anh
04004110,4.8,6,3.4,,,,5,5.75,9,Tiếng Anh
